rank,track,artist,album,duration_sec,explicit,spotify_url,extracted_at,time_range,duration_fmt
1,444 - Remix,Yan Block,444 (Remix),299,True,https://open.spotify.com/track/5AK6QqM8aUXXTk6oY00ZRh,2026-05-18 12:20:58.925661,short_term,4:59
2,Soy De La Lleca,Franky Style,V Anillos,167,True,https://open.spotify.com/track/3JhOvPAdkKfEZJV838uZwd,2026-05-18 12:20:58.925661,short_term,2:47
3,Tragicomedia,Estopa,¿La Calle Es Tuya?,209,False,https://open.spotify.com/track/0P6f1wsiwEvl89jUosdJMt,2026-05-18 12:20:58.925661,short_term,3:29
4,Cuantas veces,C.R.O,Otra vez en tus ruinas,172,False,https://open.spotify.com/track/3MznYQPob11VT0AECBxcrX,2026-05-18 12:20:58.925661,short_term,2:52
5,Ella Te Las Va A Pegar (feat. Ele a el Dominio & Noriel),Jon Z,Voodoo,217,True,https://open.spotify.com/track/146AgwEEI6STqRZhKWdJbh,2026-05-18 12:20:58.925661,short_term,3:37
6,Mi Puta,Ele A El Dominio,Mi Puta,219,True,https://open.spotify.com/track/1quBqWgWgUOwWma3mMasgf,2026-05-18 12:20:58.925661,short_term,3:39
7,Maníaca,Abraham Mateo,Insomnio,175,False,https://open.spotify.com/track/2i2vRYY1K2t5vQjXRop7tE,2026-05-18 12:20:58.925661,short_term,2:55
8,Cacho a Cacho,Estopa,Estopa,148,False,https://open.spotify.com/track/6VVBXRsXAuN5UvqKNw7j0l,2026-05-18 12:20:58.925661,short_term,2:28
9,MEDUSA REMIX,Neo Pistea,MEDUSA REMIX,401,True,https://open.spotify.com/track/3whoNOYqaUJeDNfisAIojI,2026-05-18 12:20:58.925661,short_term,6:41
10,Porque Te Mientes (feat. Gadiel & Bryant Myers),Trap Capos,Trap Capos II,200,True,https://open.spotify.com/track/0Ks2NJH2PCxyWAFPlI4p9B,2026-05-18 12:20:58.925661,short_term,3:20
11,Smack That,Akon,Konvicted,212,True,https://open.spotify.com/track/2kQuhkFX7uSVepCD3h29g5,2026-05-18 12:20:58.925661,short_term,3:32
12,プロポーズ,9Lana,Let me battle,234,False,https://open.spotify.com/track/28Pq4gEOWpCj9jSNwZu95A,2026-05-18 12:20:58.925661,short_term,3:54
13,El aire de la calle,Los Delinqüentes,El Sentimiento Garrapatero Que Nos Traen Las Flores,186,False,https://open.spotify.com/track/2PaETSKl3w3IdtLIbDnQXJ,2026-05-18 12:20:58.925661,short_term,3:06
14,Vino Tinto,Estopa,Destrangis,198,False,https://open.spotify.com/track/15m2Op4d1ZtX0ScPaDNKcd,2026-05-18 12:20:58.925661,short_term,3:18
15,Otra Mujer,Ñengo Flow,Otra Mujer,222,True,https://open.spotify.com/track/71sA6supZc8JEv8WhwgcyP,2026-05-18 12:20:58.925661,short_term,3:42
16,Me has invitado a bailar,Dani Fernández,La Jauría,192,False,https://open.spotify.com/track/3tMftGMXTPbQlmjh4FzXpZ,2026-05-18 12:20:58.925661,short_term,3:12
17,El Día Que Tú Te Marches,Estopa,Estopía,208,False,https://open.spotify.com/track/4foCz4G0YlfwumjM4GnMee,2026-05-18 12:20:58.925661,short_term,3:28
