rank,track,artist,album,duration_sec,explicit,spotify_url,extracted_at,time_range,duration_fmt
1,444 - Remix,Yan Block,444 (Remix),299,True,https://open.spotify.com/track/5AK6QqM8aUXXTk6oY00ZRh,2026-05-25 12:19:08.992612,short_term,4:59
2,Soy De La Lleca,Franky Style,V Anillos,167,True,https://open.spotify.com/track/3JhOvPAdkKfEZJV838uZwd,2026-05-25 12:19:08.992612,short_term,2:47
3,Cuantas veces,C.R.O,Otra vez en tus ruinas,172,False,https://open.spotify.com/track/3MznYQPob11VT0AECBxcrX,2026-05-25 12:19:08.992612,short_term,2:52
4,MEDUSA REMIX,Neo Pistea,MEDUSA REMIX,401,True,https://open.spotify.com/track/3whoNOYqaUJeDNfisAIojI,2026-05-25 12:19:08.992612,short_term,6:41
5,Mi Puta,Ele A El Dominio,Mi Puta,219,True,https://open.spotify.com/track/1quBqWgWgUOwWma3mMasgf,2026-05-25 12:19:08.992612,short_term,3:39
6,Cacho a Cacho,Estopa,Estopa,148,False,https://open.spotify.com/track/6VVBXRsXAuN5UvqKNw7j0l,2026-05-25 12:19:08.992612,short_term,2:28
7,Maníaca,Abraham Mateo,Insomnio,175,False,https://open.spotify.com/track/2i2vRYY1K2t5vQjXRop7tE,2026-05-25 12:19:08.992612,short_term,2:55
8,El Día Que Tú Te Marches,Estopa,Estopía,208,False,https://open.spotify.com/track/4foCz4G0YlfwumjM4GnMee,2026-05-25 12:19:08.992612,short_term,3:28
9,Si Te Vas 2.0,LIT killah,Si Te Vas 2.0,259,False,https://open.spotify.com/track/69NUba8fukuax13XWCaXva,2026-05-25 12:19:08.992612,short_term,4:19
10,プロポーズ,9Lana,Let me battle,234,False,https://open.spotify.com/track/28Pq4gEOWpCj9jSNwZu95A,2026-05-25 12:19:08.992612,short_term,3:54
11,Tragicomedia,Estopa,¿La Calle Es Tuya?,209,False,https://open.spotify.com/track/0P6f1wsiwEvl89jUosdJMt,2026-05-25 12:19:08.992612,short_term,3:29
12,Otra Mujer,Ñengo Flow,Otra Mujer,222,True,https://open.spotify.com/track/71sA6supZc8JEv8WhwgcyP,2026-05-25 12:19:08.992612,short_term,3:42
13,444,Yan Block,444,175,True,https://open.spotify.com/track/1o4xkdBe0RjSf2u6VXi4OI,2026-05-25 12:19:08.992612,short_term,2:55
14,Vino Tinto,Estopa,Destrangis,198,False,https://open.spotify.com/track/15m2Op4d1ZtX0ScPaDNKcd,2026-05-25 12:19:08.992612,short_term,3:18
15,Me has invitado a bailar,Dani Fernández,La Jauría,192,False,https://open.spotify.com/track/3tMftGMXTPbQlmjh4FzXpZ,2026-05-25 12:19:08.992612,short_term,3:12
16,Ella Te Las Va A Pegar (feat. Ele a el Dominio & Noriel),Jon Z,Voodoo,217,True,https://open.spotify.com/track/146AgwEEI6STqRZhKWdJbh,2026-05-25 12:19:08.992612,short_term,3:37
17,SABOR,Knak,SABOR,197,False,https://open.spotify.com/track/1YZB1qFg5ph4JKsRL2ATRI,2026-05-25 12:19:08.992612,short_term,3:17
