rank,track,artist,album,duration_sec,explicit,spotify_url,extracted_at,time_range,duration_fmt
1,Fancy,Yeyo,Fancy,172,True,https://open.spotify.com/track/21p1eBu4YSjLpaq3HY3Kcv,2026-04-06 10:00:27.311352,short_term,2:52
2,Chichabeba,La Obsesion,"LA OBSESION, VOL. 1",131,True,https://open.spotify.com/track/5ntlWZx00S7XlXW7cuUk3g,2026-04-06 10:00:27.311352,short_term,2:11
3,L'AMOUR,Kidd Keo,L'AMOUR,129,True,https://open.spotify.com/track/7kjueSsuNBXj15wgSW19eC,2026-04-06 10:00:27.311352,short_term,2:09
4,"Bandida bandida, no me odies por que llevo mala vida",jccamiloo,"Bandida bandida, no me odies por que llevo mala vida",121,True,https://open.spotify.com/track/3ZAhIzGS0Y5KTc4lSyyjwg,2026-04-06 10:00:27.311352,short_term,2:01
5,Frazadas,VisarraSSJ,Frazadas,249,True,https://open.spotify.com/track/3GLKueill7EmhtRxoU7H01,2026-04-06 10:00:27.311352,short_term,4:09
6,Love Me,Lil Wayne,I Am Not A Human Being II (Deluxe),255,True,https://open.spotify.com/track/2XHzzp1j4IfTNp1FTn7YFg,2026-04-06 10:00:27.311352,short_term,4:15
7,Nudes,KHEA,TAROT: Del cielo al infierno,153,True,https://open.spotify.com/track/5PZAdicPf8WfcB2Gsfh8p0,2026-04-06 10:00:27.311352,short_term,2:33
8,HOPE (with TALE$),Kidd Keo,HOPE (with TALE$),159,False,https://open.spotify.com/track/79X7BhWIBGSjChXPjkJcvQ,2026-04-06 10:00:27.311352,short_term,2:39
9,Behind Me,C.R.O,Behind Me,299,True,https://open.spotify.com/track/2G8sPU3IlxV8eFKLVqir2u,2026-04-06 10:00:27.311352,short_term,4:59
10,Maldad,Yeyo,Maldad,204,True,https://open.spotify.com/track/2lATpikfgRYwnrdNuETjSD,2026-04-06 10:00:27.311352,short_term,3:24
11,Me Mareo,Kidd Voodoo,SATIROLOGÍA (DELUXE EDITION),168,True,https://open.spotify.com/track/6jBoUckd6VEImt6pg8RpDr,2026-04-06 10:00:27.311352,short_term,2:48
12,Coco Chanel,Eladio Carrion,3MEN2 KBRN,208,True,https://open.spotify.com/track/0PB0O24JqAuNdOAFVJljMS,2026-04-06 10:00:27.311352,short_term,3:28
13,INNECESARIO,Reolid,INNECESARIO,195,False,https://open.spotify.com/track/05q4ntqrPKwHYwV3JxAoM3,2026-04-06 10:00:27.311352,short_term,3:15
14,Diamante en Bruto,C.R.O,Malos Cantores,175,True,https://open.spotify.com/track/4s8JigQIXjce6RpsInu8No,2026-04-06 10:00:27.311352,short_term,2:55
15,Voices (Randy Orton),WWE,WWE: WrestleMania - The Music 2013,204,False,https://open.spotify.com/track/3xufMoKtkjMbZmVhgB2MZc,2026-04-06 10:00:27.311352,short_term,3:24
16,LHNA,RobGz,LHNA,200,True,https://open.spotify.com/track/0pLZ7PPAId3OLfVIPTVAz5,2026-04-06 10:00:27.311352,short_term,3:20
17,Celine (with Kidd Keo),Ghost Killer Track,Celine (with Kidd Keo),176,False,https://open.spotify.com/track/5ER5Fr1Cv7N3chJhAapt66,2026-04-06 10:00:27.311352,short_term,2:56
18,Burbujas de Cristal,Cartel De Santa,Burbujas de Cristal,224,True,https://open.spotify.com/track/15yuvKhcoEtV5KwKxqHSwa,2026-04-06 10:00:27.311352,short_term,3:44
19,Con Otra,KHEA,TAROT: Del cielo al infierno,221,True,https://open.spotify.com/track/1NhvH0qdOuuFncWGAIXxTg,2026-04-06 10:00:27.311352,short_term,3:41
20,Tocado y hundido,Melendi,Un alumno más,211,False,https://open.spotify.com/track/1w56puP15nqOK4yr8776dY,2026-04-06 10:00:27.311352,short_term,3:31
21,Sucio Guapo,Kidd Keo,Sucio Guapo,208,True,https://open.spotify.com/track/3O6qgosmTPliBdsuCIOqMh,2026-04-06 10:00:27.311352,short_term,3:28
22,Vuela Corazón,Dasoul,Vuela Corazón,218,False,https://open.spotify.com/track/5JUQck3tWdZxpRkh1lIFpF,2026-04-06 10:00:27.311352,short_term,3:38
23,Orgullo,Justin Quiles,Orgullo,200,False,https://open.spotify.com/track/7ca2Td5BdpuTXKpSPS0exv,2026-04-06 10:00:27.311352,short_term,3:20
24,Vacio,Almighty,Vacio,247,True,https://open.spotify.com/track/3HoZTyT6zXnyDkiVUQRO9N,2026-04-06 10:00:27.311352,short_term,4:07
25,プロポーズ,9Lana,Let me battle,234,False,https://open.spotify.com/track/28Pq4gEOWpCj9jSNwZu95A,2026-04-06 10:00:27.311352,short_term,3:54
26,Porque Te Mientes (feat. Gadiel & Bryant Myers),Trap Capos,Trap Capos II,200,True,https://open.spotify.com/track/0Ks2NJH2PCxyWAFPlI4p9B,2026-04-06 10:00:27.311352,short_term,3:20
27,Copa rota,Los Rodriguez,Disco Pirata,268,False,https://open.spotify.com/track/5D6kjB443NQaATghyE6b4o,2026-04-06 10:00:27.311352,short_term,4:28
28,La Obsesión,La Obsesion,"LA OBSESION, VOL. 1",193,True,https://open.spotify.com/track/5NK5vkJQCtC721Ut1OvHYj,2026-04-06 10:00:27.311352,short_term,3:13
29,Talento,Yan Block,Talento,150,True,https://open.spotify.com/track/7sChwC2NZjGc2Kdni3hlDg,2026-04-06 10:00:27.311352,short_term,2:30
30,secuestro,Slayter,dile no a las drogas,194,True,https://open.spotify.com/track/3I4YGWwJoqBdBGVnkRjnVw,2026-04-06 10:00:27.311352,short_term,3:14
31,BADGYAL,SAIKO,SAKURA,253,True,https://open.spotify.com/track/3ng8tfwvzR4BBwa9yaMms6,2026-04-06 10:00:27.311352,short_term,4:13
32,Instante,C.R.O,Instante,194,False,https://open.spotify.com/track/6DLgDBSKFVHDfuYImcGGnd,2026-04-06 10:00:27.311352,short_term,3:14
33,Si Ella Quisiera - Remix,Justin Quiles,Si Ella Quisiera (Remix),231,False,https://open.spotify.com/track/6jdVlltXAVyVnY95GFGf5J,2026-04-06 10:00:27.311352,short_term,3:51
34,6 AM,J Balvin,La Familia,243,False,https://open.spotify.com/track/7mPwkbaoiQ5bf8FPbRJzUr,2026-04-06 10:00:27.311352,short_term,4:03
35,Bastardo (feat. Ñengo Flow & Jere Klein),Pablo Chill-E,Los Gangsters Tambien Lloran,264,True,https://open.spotify.com/track/7xjFEvchFCiAmuseCBModI,2026-04-06 10:00:27.311352,short_term,4:24
36,Si Me Porto Mal,Dasoul,Si Me Porto Mal,235,False,https://open.spotify.com/track/5EZhK9Ro3Yc2cgzWiDTWQx,2026-04-06 10:00:27.311352,short_term,3:55
37,Ahora Me Llama,KAROL G,Unstoppable,235,True,https://open.spotify.com/track/0alSPoUfrGb0RdVVG4Lf3n,2026-04-06 10:00:27.311352,short_term,3:55
38,La parte de adelante,Andrés Calamaro,Honestidad Brutal,261,False,https://open.spotify.com/track/0fHTVPRRKmWaRuIwrsNTMp,2026-04-06 10:00:27.311352,short_term,4:21
39,Ha Vuelto el Matador,Cacho Castaña,Sus Mejores Canciones,183,False,https://open.spotify.com/track/1fHcqjYW6Ie9YiLpQnACmC,2026-04-06 10:00:27.311352,short_term,3:03
40,Bossanova,Estopa,Estopa,196,False,https://open.spotify.com/track/26PQ2HSYlky6lK9MrvMZB8,2026-04-06 10:00:27.311352,short_term,3:16
41,Ginza,J Balvin,Energía,171,False,https://open.spotify.com/track/2C2TGgFzrTRIOdQS1vUN5h,2026-04-06 10:00:27.311352,short_term,2:51
42,Esclava - Remix,Bryant Myers,Esclava (Remix),281,False,https://open.spotify.com/track/2Mgur7BKnpr7OG3izSNFTA,2026-04-06 10:00:27.311352,short_term,4:41
43,La Pregunta,J Alvarez,Timeless,269,False,https://open.spotify.com/track/2Ob4mHihtOGbx6jnCredFX,2026-04-06 10:00:27.311352,short_term,4:29
44,Cuantas veces,C.R.O,Otra vez en tus ruinas,172,False,https://open.spotify.com/track/3MznYQPob11VT0AECBxcrX,2026-04-06 10:00:27.311352,short_term,2:52
45,Romeo y Julieta,Paulo Londra,Homerun,181,False,https://open.spotify.com/track/3lSfq8WiDcQXEn8sqHCTZZ,2026-04-06 10:00:27.311352,short_term,3:01
46,RAMEN PARA DOS,Maria Becerra,QUIMERA,231,True,https://open.spotify.com/track/5KJacLbQNuqzR9IizaPI6h,2026-04-06 10:00:27.311352,short_term,3:51
47,Borro Cassette,Maluma,"Pretty Boy, Dirty Boy",207,False,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN,2026-04-06 10:00:27.311352,short_term,3:27
48,Si Te Agarro Con Otro Te Mato,Cacho Castaña,Sus Mejores Canciones,167,False,https://open.spotify.com/track/6zlSiA9ySn6l5VXt8fziOi,2026-04-06 10:00:27.311352,short_term,2:47
49,Percocet (Remix),Alex Rose,Percocet (Remix),314,True,https://open.spotify.com/track/7jFl7qbhtGg81SkszfgVGF,2026-04-06 10:00:27.311352,short_term,5:14
50,Friends,Chase Atlantic,Nostalgia - EP,230,False,https://open.spotify.com/track/7uDUb37h7Xdhza1eWMkoJv,2026-04-06 10:00:27.311352,short_term,3:50
