rank,track,artist,album,duration_sec,explicit,spotify_url,extracted_at,time_range,duration_fmt
1,444 - Remix,Yan Block,444 (Remix),299,True,https://open.spotify.com/track/5AK6QqM8aUXXTk6oY00ZRh,2026-05-11 11:57:36.353407,short_term,4:59
2,Tragicomedia,Estopa,¿La Calle Es Tuya?,209,False,https://open.spotify.com/track/0P6f1wsiwEvl89jUosdJMt,2026-05-11 11:57:36.353407,short_term,3:29
3,Doma,Jósean Log,Háblate de Mí,188,False,https://open.spotify.com/track/58cLm4PaHNt8DDr9ayZnNz,2026-05-11 11:57:36.353407,short_term,3:08
4,Ella Te Las Va A Pegar (feat. Ele a el Dominio & Noriel),Jon Z,Voodoo,217,True,https://open.spotify.com/track/146AgwEEI6STqRZhKWdJbh,2026-05-11 11:57:36.353407,short_term,3:37
5,Smack That,Akon,Konvicted,212,True,https://open.spotify.com/track/2kQuhkFX7uSVepCD3h29g5,2026-05-11 11:57:36.353407,short_term,3:32
6,El aire de la calle,Los Delinqüentes,El Sentimiento Garrapatero Que Nos Traen Las Flores,186,False,https://open.spotify.com/track/2PaETSKl3w3IdtLIbDnQXJ,2026-05-11 11:57:36.353407,short_term,3:06
7,Mi Puta,Ele A El Dominio,Mi Puta,219,True,https://open.spotify.com/track/1quBqWgWgUOwWma3mMasgf,2026-05-11 11:57:36.353407,short_term,3:39
8,Porque Te Mientes (feat. Gadiel & Bryant Myers),Trap Capos,Trap Capos II,200,True,https://open.spotify.com/track/0Ks2NJH2PCxyWAFPlI4p9B,2026-05-11 11:57:36.353407,short_term,3:20
9,Cacho a Cacho,Estopa,Estopa,148,False,https://open.spotify.com/track/6VVBXRsXAuN5UvqKNw7j0l,2026-05-11 11:57:36.353407,short_term,2:28
10,Ya No Me Acuerdo,Estopa,¿La Calle Es Tuya?,170,False,https://open.spotify.com/track/1vHY8bEVI7Sg85xNMTDxXM,2026-05-11 11:57:36.353407,short_term,2:50
11,Otra Mujer,Ñengo Flow,Otra Mujer,222,True,https://open.spotify.com/track/71sA6supZc8JEv8WhwgcyP,2026-05-11 11:57:36.353407,short_term,3:42
12,Vino Tinto,Estopa,Destrangis,198,False,https://open.spotify.com/track/15m2Op4d1ZtX0ScPaDNKcd,2026-05-11 11:57:36.353407,short_term,3:18
