rank,track,artist,album,duration_sec,explicit,spotify_url,extracted_at,time_range,duration_fmt
1,Sáhara,Kenny Die,Sáhara,163,True,https://open.spotify.com/track/4pv2Jyb0wvKzJO10cNiH6l,2026-06-15 14:55:16.760311,short_term,2:43
2,No Le Conviene,Kenny Die,No Le Conviene,162,True,https://open.spotify.com/track/1Nje8uVhzBQtdbFJqC9D4F,2026-06-15 14:55:16.760311,short_term,2:42
3,Si Te Vas 2.0,LIT killah,Si Te Vas 2.0,259,False,https://open.spotify.com/track/69NUba8fukuax13XWCaXva,2026-06-15 14:55:16.760311,short_term,4:19
4,Soy De La Lleca,Franky Style,V Anillos,167,True,https://open.spotify.com/track/3JhOvPAdkKfEZJV838uZwd,2026-06-15 14:55:16.760311,short_term,2:47
5,El Día Que Tú Te Marches,Estopa,Estopía,208,False,https://open.spotify.com/track/4foCz4G0YlfwumjM4GnMee,2026-06-15 14:55:16.760311,short_term,3:28
6,SABOR,Knak,SABOR,197,False,https://open.spotify.com/track/1YZB1qFg5ph4JKsRL2ATRI,2026-06-15 14:55:16.760311,short_term,3:17
7,MEDUSA REMIX,Neo Pistea,MEDUSA REMIX,401,True,https://open.spotify.com/track/3whoNOYqaUJeDNfisAIojI,2026-06-15 14:55:16.760311,short_term,6:41
8,Tragicomedia,Estopa,¿La Calle Es Tuya?,209,False,https://open.spotify.com/track/0P6f1wsiwEvl89jUosdJMt,2026-06-15 14:55:16.760311,short_term,3:29
9,Bebxendo Chingxndo Fumxndo,Kenny Die,Bebxendo Chingxndo Fumxndo,193,True,https://open.spotify.com/track/345gSQeyhMpUGlmuY9F89d,2026-06-15 14:55:16.760311,short_term,3:13
10,Frazadas,VisarraSSJ,Frazadas,249,True,https://open.spotify.com/track/3GLKueill7EmhtRxoU7H01,2026-06-15 14:55:16.760311,short_term,4:09
11,Cuantas veces,C.R.O,Otra vez en tus ruinas,172,False,https://open.spotify.com/track/3MznYQPob11VT0AECBxcrX,2026-06-15 14:55:16.760311,short_term,2:52
12,Mi Puta,Ele A El Dominio,Mi Puta,219,True,https://open.spotify.com/track/1quBqWgWgUOwWma3mMasgf,2026-06-15 14:55:16.760311,short_term,3:39
13,Cacho a Cacho,Estopa,Estopa,148,False,https://open.spotify.com/track/6VVBXRsXAuN5UvqKNw7j0l,2026-06-15 14:55:16.760311,short_term,2:28
14,プロポーズ,9Lana,Let me battle,234,False,https://open.spotify.com/track/28Pq4gEOWpCj9jSNwZu95A,2026-06-15 14:55:16.760311,short_term,3:54
15,Have You Ever Seen The Rain,Creedence Clearwater Revival,Pendulum (Expanded Edition),160,False,https://open.spotify.com/track/2LawezPeJhN4AWuSB0GtAU,2026-06-15 14:55:16.760311,short_term,2:40
16,PUTAS,Ramma,INMORTAL,174,True,https://open.spotify.com/track/5XeCzEAR1GGA7JBqmUjOVX,2026-06-15 14:55:16.760311,short_term,2:54
17,Con Otra,KHEA,TAROT: Del cielo al infierno,221,True,https://open.spotify.com/track/1NhvH0qdOuuFncWGAIXxTg,2026-06-15 14:55:16.760311,short_term,3:41
18,Vuela Corazón,Dasoul,Vuela Corazón,218,False,https://open.spotify.com/track/5JUQck3tWdZxpRkh1lIFpF,2026-06-15 14:55:16.760311,short_term,3:38
19,444,Yan Block,444,175,True,https://open.spotify.com/track/1o4xkdBe0RjSf2u6VXi4OI,2026-06-15 14:55:16.760311,short_term,2:55
20,Maníaca,Abraham Mateo,Insomnio,175,False,https://open.spotify.com/track/2i2vRYY1K2t5vQjXRop7tE,2026-06-15 14:55:16.760311,short_term,2:55
21,Keep on Loving You,REO Speedwagon,Hi Infidelity (30th Anniversary Edition),200,False,https://open.spotify.com/track/4rcHWl68ai6KvpXlc8vbnE,2026-06-15 14:55:16.760311,short_term,3:20
