rank,track,artist,album,duration_sec,explicit,spotify_url,extracted_at,time_range,duration_fmt
22,Beauty And A Beat,Justin Bieber,Believe,227,False,https://open.spotify.com/track/6QFCMUUq1T2Vf5sFUXcuQ7,2026-06-15 14:55:16.760311,short_term,3:47
23,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,The Idol Episode 4 (Music from the HBO Original Series),244,False,https://open.spotify.com/track/7CyPwkp0oE8Ro9Dd5CUDjW,2026-06-15 14:55:16.760311,short_term,4:04
24,Orgullo,Justin Quiles,Orgullo,200,False,https://open.spotify.com/track/7ca2Td5BdpuTXKpSPS0exv,2026-06-15 14:55:16.760311,short_term,3:20
25,Otra Mujer,Ñengo Flow,Otra Mujer,222,True,https://open.spotify.com/track/71sA6supZc8JEv8WhwgcyP,2026-06-15 14:55:16.760311,short_term,3:42
26,Bailemos,Dani Fernández,Incendios,210,False,https://open.spotify.com/track/5EnaxC9amhXY55ezw87SL8,2026-06-15 14:55:16.760311,short_term,3:30
27,El aire de la calle,Los Delinqüentes,El Sentimiento Garrapatero Que Nos Traen Las Flores,186,False,https://open.spotify.com/track/2PaETSKl3w3IdtLIbDnQXJ,2026-06-15 14:55:16.760311,short_term,3:06
28,Él No Te Da,Dasoul,Si Me Porto Mal,248,False,https://open.spotify.com/track/51AfjBNI5b6pQfusccce46,2026-06-15 14:55:16.760311,short_term,4:08
29,La Rompe Corazones,Daddy Yankee,La Rompe Corazones,204,False,https://open.spotify.com/track/2Q85xwXagilpHKTfdrbC7M,2026-06-15 14:55:16.760311,short_term,3:24
30,Self Aware,Temper City,Self Aware,180,False,https://open.spotify.com/track/4qW3BbQAwZsrnu8a3ZRdyT,2026-06-15 14:55:16.760311,short_term,3:00
31,Meddle About,Chase Atlantic,Meddle About,203,False,https://open.spotify.com/track/5fVl28RgREvxVtGSf9OsbK,2026-06-15 14:55:16.760311,short_term,3:23
32,"Paint It, Black",The Rolling Stones,Aftermath,202,False,https://open.spotify.com/track/63T7DJ1AFDD6Bn8VzG6JE8,2026-06-15 14:55:16.760311,short_term,3:22
33,Waitin',Los Pericos,Big Yuyo,168,False,https://open.spotify.com/track/6EjUn5quLcTVFBUGLGwGwA,2026-06-15 14:55:16.760311,short_term,2:48
34,Mala Vida,Jesp7Tearz,Mala Vida,218,False,https://open.spotify.com/track/6QbQCXJK82Yh3phNVLBjnM,2026-06-15 14:55:16.760311,short_term,3:38
35,Pégate,Ylenia,Pégate,194,False,https://open.spotify.com/track/6ompGErYS59VXTd9w4fWvz,2026-06-15 14:55:16.760311,short_term,3:14
36,Me Sigue,Kenny Die,Me Sigue,232,False,https://open.spotify.com/track/3HQmWqY1Jko3sG12pYSCOL,2026-06-15 14:55:16.760311,short_term,3:52
37,Señorita,Abraham Mateo,AM,200,False,https://open.spotify.com/track/2i3vslhuXq4h2tYajAbHzS,2026-06-15 14:55:16.760311,short_term,3:20
38,Ultra Complicado - Ryan Castro Version,Kenny Die,Ultra Complicado - Ryan Castro Version,170,False,https://open.spotify.com/track/1No3PlwIHeS3dNTIAjV76S,2026-06-15 14:55:16.760311,short_term,2:50
39,TELEFONO NUEVO,Bad Bunny,nadie sabe lo que va a pasar mañana,354,True,https://open.spotify.com/track/01ppKlDRCmPpusO3yNrSRY,2026-06-15 14:55:16.760311,short_term,5:54
40,Señor Amante,Valeria Lynch,Para Cantarle a la Vida,208,False,https://open.spotify.com/track/6VBN1IhxYWIil2csxQCd4j,2026-06-15 14:55:16.760311,short_term,3:28
41,Tu para Mi,Kenny Die,Tu para Mi,190,False,https://open.spotify.com/track/2ieGF9be4S5JGwHfnnTCPY,2026-06-15 14:55:16.760311,short_term,3:10
42,Hotel,Vincez,Hotel,145,False,https://open.spotify.com/track/3mYduMKRkI7EDpWRJKmpUQ,2026-06-15 14:55:16.760311,short_term,2:25
43,"Un Polvo (feat. Bad Bunny, Arcángel, Ñengo Flow & De La Ghetto)",Maluma,"Un Polvo (feat. Bad Bunny, Arcángel, Ñengo Flow & De La Ghetto)",306,True,https://open.spotify.com/track/01vHGJRvJ6EZW9KO8NtZpi,2026-06-15 14:55:16.760311,short_term,5:06
44,Dime,Revol,Dime,284,False,https://open.spotify.com/track/08wJw4VdkKImX4t1vL6MsO,2026-06-15 14:55:16.760311,short_term,4:44
45,Hace Mucho Tiempo,Arcángel,"Sentimiento, Elegancia Y Maldad",171,False,https://open.spotify.com/track/0a6ogDrZBvYgDjILgsQVaJ,2026-06-15 14:55:16.760311,short_term,2:51
46,Cosas Del Amor,Kenny Die,Cosas Del Amor,170,False,https://open.spotify.com/track/14juGYTV5ms1SHx0mgfdEb,2026-06-15 14:55:16.760311,short_term,2:50
47,Quien Dijo Amigos?,Carlitos Rossy,Quien Dijo Amigos?,223,False,https://open.spotify.com/track/2Vjyk2WqC4MmyxwPlIwvt7,2026-06-15 14:55:16.760311,short_term,3:43
48,Si Tu Novio Te Deja Sola,J Balvin,Si Tu Novio Te Deja Sola,243,True,https://open.spotify.com/track/2joKSGkqac0LIwYG9Ghrwq,2026-06-15 14:55:16.760311,short_term,4:03
49,Maldad,Yeyo,Maldad,204,True,https://open.spotify.com/track/2lATpikfgRYwnrdNuETjSD,2026-06-15 14:55:16.760311,short_term,3:24
50,QUEEN,Kanaria,QUEEN,141,False,https://open.spotify.com/track/32zpHDchUY83w80C8mMtOs,2026-06-15 14:55:16.760311,short_term,2:21
