rank,track,artist,album,duration_sec,explicit,spotify_url,extracted_at,time_range,duration_fmt
1,Tragicomedia,Estopa,¿La Calle Es Tuya?,209,False,https://open.spotify.com/track/0P6f1wsiwEvl89jUosdJMt,2026-04-27 10:53:14.207308,short_term,3:29
2,Doma,Jósean Log,Háblate de Mí,188,False,https://open.spotify.com/track/58cLm4PaHNt8DDr9ayZnNz,2026-04-27 10:53:14.207308,short_term,3:08
3,"Bandida bandida, no me odies por que llevo mala vida",jccamiloo,"Bandida bandida, no me odies por que llevo mala vida",121,True,https://open.spotify.com/track/3ZAhIzGS0Y5KTc4lSyyjwg,2026-04-27 10:53:14.207308,short_term,2:01
4,Barbie de extrarradio,Melendi,Volvamos a empezar (Deluxe edition),215,False,https://open.spotify.com/track/7bp62Lo0nOBcfB70iUoibE,2026-04-27 10:53:14.207308,short_term,3:35
5,El aire de la calle,Los Delinqüentes,El Sentimiento Garrapatero Que Nos Traen Las Flores,186,False,https://open.spotify.com/track/2PaETSKl3w3IdtLIbDnQXJ,2026-04-27 10:53:14.207308,short_term,3:06
6,Ya No Me Acuerdo,Estopa,¿La Calle Es Tuya?,170,False,https://open.spotify.com/track/1vHY8bEVI7Sg85xNMTDxXM,2026-04-27 10:53:14.207308,short_term,2:50
7,Maldad,Yeyo,Maldad,204,True,https://open.spotify.com/track/2lATpikfgRYwnrdNuETjSD,2026-04-27 10:53:14.207308,short_term,3:24
8,Bossanova,Estopa,Estopa,196,False,https://open.spotify.com/track/26PQ2HSYlky6lK9MrvMZB8,2026-04-27 10:53:14.207308,short_term,3:16
9,Smack That,Akon,Konvicted,212,True,https://open.spotify.com/track/2kQuhkFX7uSVepCD3h29g5,2026-04-27 10:53:14.207308,short_term,3:32
10,Por la Raja de Tu Falda,Estopa,Estopa,202,False,https://open.spotify.com/track/5OaqffbeQyVVqtnA71Ci7K,2026-04-27 10:53:14.207308,short_term,3:22
11,プロポーズ,9Lana,Let me battle,234,False,https://open.spotify.com/track/28Pq4gEOWpCj9jSNwZu95A,2026-04-27 10:53:14.207308,short_term,3:54
12,Behind Me,C.R.O,Behind Me,299,True,https://open.spotify.com/track/2G8sPU3IlxV8eFKLVqir2u,2026-04-27 10:53:14.207308,short_term,4:59
13,Porque Te Mientes (feat. Gadiel & Bryant Myers),Trap Capos,Trap Capos II,200,True,https://open.spotify.com/track/0Ks2NJH2PCxyWAFPlI4p9B,2026-04-27 10:53:14.207308,short_term,3:20
14,Frazadas,VisarraSSJ,Frazadas,249,True,https://open.spotify.com/track/3GLKueill7EmhtRxoU7H01,2026-04-27 10:53:14.207308,short_term,4:09
15,Ella Te Las Va A Pegar (feat. Ele a el Dominio & Noriel),Jon Z,Voodoo,217,True,https://open.spotify.com/track/146AgwEEI6STqRZhKWdJbh,2026-04-27 10:53:14.207308,short_term,3:37
16,Beauty And A Beat,Justin Bieber,Believe,227,False,https://open.spotify.com/track/6QFCMUUq1T2Vf5sFUXcuQ7,2026-04-27 10:53:14.207308,short_term,3:47
17,Fancy,Yeyo,Fancy,172,True,https://open.spotify.com/track/21p1eBu4YSjLpaq3HY3Kcv,2026-04-27 10:53:14.207308,short_term,2:52
18,De Lejitos,Jay Wheeler,De Lejitos,207,True,https://open.spotify.com/track/3r2ZoCWlf9RewWlxxozfQ8,2026-04-27 10:53:14.207308,short_term,3:27
19,Con Otra,KHEA,TAROT: Del cielo al infierno,221,True,https://open.spotify.com/track/1NhvH0qdOuuFncWGAIXxTg,2026-04-27 10:53:14.207308,short_term,3:41
20,Frances Limon,Los Enanitos Verdes,Amores Lejanos,317,False,https://open.spotify.com/track/2BPmAFsiy6vwDceybqIAjw,2026-04-27 10:53:14.207308,short_term,5:17
